[2026-05-05 19:07:49] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.14 dB
[2026-05-05 23:16:13] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -18.66 dB
[2026-05-05 23:16:14] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -43.64 dB
[2026-05-05 23:16:16] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -38.08 dB
[2026-05-05 23:16:18] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -48.11 dB
[2026-05-05 23:16:19] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -16.41 dB
[2026-05-05 23:16:21] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -55.32 dB
[2026-05-05 23:16:23] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -46.34 dB
[2026-05-05 23:16:25] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -43.79 dB
[2026-05-05 23:16:26] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -11.37 dB
[2026-05-05 23:16:28] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -46.82 dB
[2026-05-05 23:16:30] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -49.52 dB
[2026-05-05 23:16:32] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -46.19 dB
[2026-05-05 23:16:33] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -40.64 dB
[2026-05-05 23:16:35] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -60.51 dB
[2026-05-05 23:16:37] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -17.37 dB
[2026-05-05 23:16:39] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -40.57 dB
[2026-05-05 23:16:40] STATUS: PLATFORM:Unknown | DIST:0.0km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -3.91 dB
[2026-05-05 23:16:42] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -46.16 dB
[2026-05-05 23:16:44] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -49.85 dB
[2026-05-05 23:16:45] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -41.94 dB
[2026-05-05 23:16:47] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -47.42 dB
[2026-05-05 23:16:49] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -38.20 dB
[2026-05-05 23:16:51] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.02km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -19.92 dB
[2026-05-05 23:16:52] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -18.67 dB
[2026-05-05 23:16:54] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -36.58 dB
[2026-05-05 23:16:56] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 17.2% | RSSI: -32.80 dB
[2026-05-05 23:16:58] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 17.2% | RSSI: -42.98 dB
[2026-05-05 23:17:00] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 24.0% | RSSI: -41.50 dB
[2026-05-05 23:17:01] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 30.8% | RSSI: -48.34 dB
[2026-05-05 23:17:03] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 32.0% | RSSI: -50.67 dB
[2026-05-05 23:17:05] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.16 dB
[2026-05-05 23:17:06] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -42.13 dB
[2026-05-05 23:17:08] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.39 dB
[2026-05-05 23:17:10] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.68 dB
[2026-05-05 23:17:11] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.25 dB
[2026-05-05 23:17:13] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.42 dB
[2026-05-05 23:17:15] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -50.02 dB
[2026-05-05 23:17:17] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.56 dB
[2026-05-05 23:17:19] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.68 dB
[2026-05-05 23:17:20] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.24 dB
[2026-05-05 23:17:22] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.10 dB
[2026-05-05 23:17:24] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.94 dB
[2026-05-05 23:17:26] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -36.68 dB
[2026-05-05 23:17:27] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 30.8% | RSSI: -30.56 dB
[2026-05-05 23:17:29] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 30.8% | RSSI: -45.53 dB
[2026-05-05 23:17:31] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 30.8% | RSSI: -49.89 dB
[2026-05-05 23:17:32] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 24.0% | RSSI: -13.08 dB
[2026-05-05 23:17:34] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 25.2% | RSSI: -52.89 dB
[2026-05-05 23:17:36] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -40.11 dB
[2026-05-05 23:17:38] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -48.89 dB
[2026-05-05 23:17:39] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -45.04 dB
[2026-05-05 23:17:41] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.21 dB
[2026-05-05 23:17:43] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -17.04 dB
[2026-05-05 23:17:44] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -46.39 dB
[2026-05-05 23:17:46] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -44.57 dB
[2026-05-05 23:17:48] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -12.08 dB
[2026-05-05 23:17:50] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -43.62 dB
[2026-05-05 23:17:51] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -39.67 dB
[2026-05-05 23:17:53] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -14.54 dB
[2026-05-05 23:17:55] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -42.22 dB
[2026-05-05 23:17:57] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 25.2% | RSSI: -35.09 dB
[2026-05-05 23:17:58] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 25.2% | RSSI: -50.96 dB
[2026-05-05 23:18:00] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 25.2% | RSSI: -49.96 dB
[2026-05-05 23:18:02] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 32.0% | RSSI: -44.48 dB
[2026-05-05 23:18:04] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 32.0% | RSSI: -51.10 dB
[2026-05-05 23:18:06] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.34 dB
[2026-05-05 23:18:08] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -15.40 dB
[2026-05-05 23:18:10] STATUS: PLATFORM:Unknown | DIST:0.0km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -1.10 dB
[2026-05-05 23:18:12] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -41.11 dB
[2026-05-05 23:18:14] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -46.60 dB
[2026-05-05 23:18:16] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -37.31 dB
[2026-05-05 23:18:18] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -49.86 dB
[2026-05-05 23:18:20] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -44.15 dB
[2026-05-05 23:18:22] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -46.48 dB
[2026-05-05 23:18:24] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 33.6% | RSSI: -37.33 dB
[2026-05-05 23:18:26] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -42.97 dB
[2026-05-05 23:18:28] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -38.63 dB
[2026-05-05 23:18:30] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -46.46 dB
[2026-05-05 23:18:32] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -44.53 dB
[2026-05-05 23:18:34] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.36 dB
[2026-05-05 23:18:36] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.67 dB
[2026-05-05 23:18:37] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.00 dB
[2026-05-05 23:18:40] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -51.31 dB
[2026-05-05 23:18:41] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -36.83 dB
[2026-05-05 23:18:43] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -39.57 dB
[2026-05-05 23:18:45] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -47.76 dB
[2026-05-05 23:18:47] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -44.77 dB
[2026-05-05 23:18:49] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 28.0% | RSSI: -17.18 dB
[2026-05-05 23:18:51] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 25.2% | RSSI: -35.18 dB
[2026-05-05 23:18:53] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -35.28 dB
[2026-05-05 23:18:55] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -44.39 dB
[2026-05-05 23:18:57] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -45.89 dB
[2026-05-05 23:18:59] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -54.02 dB
[2026-05-05 23:19:01] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 32.0% | RSSI: -45.04 dB
[2026-05-05 23:19:04] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -18.66 dB
[2026-05-05 23:19:06] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.02km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -21.73 dB
[2026-05-05 23:19:08] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -41.92 dB
[2026-05-05 23:19:09] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -44.71 dB
[2026-05-05 23:19:12] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -55.27 dB
[2026-05-05 23:19:13] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -53.13 dB
[2026-05-05 23:19:15] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.91 dB
[2026-05-05 23:19:17] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.14 dB
[2026-05-05 23:19:19] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.04 dB
[2026-05-05 23:19:21] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -54.79 dB
[2026-05-05 23:19:23] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 29.2% | RSSI: -15.56 dB
[2026-05-05 23:19:25] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -46.63 dB
[2026-05-05 23:19:27] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -45.33 dB
[2026-05-05 23:19:29] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -15.95 dB
[2026-05-05 23:19:31] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 15.6% | RSSI: -15.78 dB
[2026-05-05 23:19:33] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -41.72 dB
[2026-05-05 23:19:35] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -47.88 dB
[2026-05-05 23:19:37] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -45.38 dB
[2026-05-05 23:19:39] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -16.45 dB
[2026-05-05 23:19:41] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -14.48 dB
[2026-05-05 23:19:43] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 15.6% | RSSI: -13.21 dB
[2026-05-05 23:19:45] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 15.6% | RSSI: -52.26 dB
[2026-05-05 23:19:47] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 15.6% | RSSI: -44.07 dB
[2026-05-05 23:19:49] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -43.08 dB
[2026-05-05 23:19:51] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -10.77 dB
[2026-05-05 23:19:53] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -36.36 dB
[2026-05-05 23:19:54] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 21.2% | RSSI: -13.33 dB
[2026-05-05 23:19:56] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -46.45 dB
[2026-05-05 23:19:58] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 21.2% | RSSI: -45.29 dB
[2026-05-05 23:20:00] STATUS: PLATFORM:Unknown | DIST:0.0km | SIG:SIG-7721 | TRUST: 21.2% | RSSI: -6.46 dB
[2026-05-05 23:20:02] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -45.97 dB
[2026-05-05 23:20:04] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -46.61 dB
[2026-05-05 23:20:06] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -45.87 dB
[2026-05-05 23:20:08] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -47.57 dB
[2026-05-05 23:20:10] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.16 dB
[2026-05-05 23:20:13] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.05 dB
[2026-05-05 23:20:15] STATUS: PLATFORM:Unknown | DIST:0.0km | SIG:SIG-7721 | TRUST: 29.2% | RSSI: -9.56 dB
[2026-05-05 23:20:16] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -11.07 dB
[2026-05-05 23:20:18] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -39.02 dB
[2026-05-05 23:20:20] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -39.67 dB
[2026-05-05 23:20:22] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -40.29 dB
[2026-05-05 23:20:24] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -42.73 dB
[2026-05-05 23:20:26] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.92 dB
[2026-05-05 23:20:28] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -54.98 dB
[2026-05-05 23:20:30] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 32.0% | RSSI: -33.41 dB
[2026-05-05 23:20:32] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 32.0% | RSSI: -47.33 dB
[2026-05-05 23:20:34] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -30.74 dB
[2026-05-05 23:20:36] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -45.24 dB
[2026-05-05 23:20:38] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -42.76 dB
[2026-05-05 23:20:40] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 25.2% | RSSI: -15.70 dB
[2026-05-05 23:20:42] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 25.2% | RSSI: -52.50 dB
[2026-05-05 23:20:43] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -42.37 dB
[2026-05-05 23:20:45] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -18.97 dB
[2026-05-05 23:20:47] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -53.69 dB
[2026-05-05 23:20:50] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 22.4% | RSSI: -17.82 dB
[2026-05-05 23:20:52] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -49.80 dB
[2026-05-05 23:20:53] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.01km | SIG:SIG-004X | TRUST: 15.6% | RSSI: -18.88 dB
[2026-05-05 23:20:55] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -52.10 dB
[2026-05-05 23:20:57] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -48.33 dB
[2026-05-05 23:20:59] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -43.26 dB
[2026-05-05 23:21:01] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -52.10 dB
[2026-05-05 23:21:03] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.19 dB
[2026-05-05 23:21:05] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -36.66 dB
[2026-05-05 23:21:07] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -55.54 dB
[2026-05-05 23:21:09] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 34.8% | RSSI: -47.64 dB
[2026-05-05 23:21:11] STATUS: PLATFORM:Ground-Based Jammer | DIST:0.02km | SIG:SIG-004X | TRUST: 28.0% | RSSI: -20.28 dB
[2026-05-05 23:21:13] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 28.0% | RSSI: -45.98 dB
[2026-05-05 23:21:15] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -14.82 dB
[2026-05-05 23:21:17] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -41.80 dB
[2026-05-05 23:21:19] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 15.6% | RSSI: -12.61 dB
[2026-05-05 23:21:21] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -48.73 dB
[2026-05-05 23:21:23] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 22.4% | RSSI: -46.86 dB
[2026-05-05 23:21:25] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -47.41 dB
[2026-05-05 23:21:27] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 29.2% | RSSI: -47.50 dB
[2026-05-05 23:21:29] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.88 dB
[2026-05-05 23:21:31] STATUS: PLATFORM:Unknown | DIST:Nonekm | SIG:SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.32 dB
[2026-05-05 23:21:32] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 29.2% | RSSI: -12.71 dB
[2026-05-05 23:21:34] STATUS: PLATFORM:Tactical Drone | DIST:0.01km | SIG:SIG-7721 | TRUST: 22.4% | RSSI: -14.66 dB
